Gender,Ever_Married,Age,Graduated,Profession,Spending_Score,Family_Size,Var_1,Work_Experience_Cleaned
Male,No,32,Yes,Healthcare,Low,2.0,Cat_6,9.0
Male,No,25,Yes,Marketing,Low,5.0,Cat_3,
Female,Yes,52,Yes,Artist,Average,4.0,Cat_6,
Female,No,28,Yes,Homemaker,Low,1.0,,11.0
Male,Yes,56,Yes,Doctor,Low,1.0,Cat_6,
Male,Yes,79,No,Lawyer,Low,1.0,Cat_6,1.0
Male,Yes,35,Yes,Artist,Low,1.0,Cat_6,9.0
Female,Yes,60,Yes,Homemaker,Low,4.0,Cat_6,1.0
Female,No,37,Yes,Entertainment,Low,1.0,Cat_6,1.0
Female,No,40,Yes,Artist,Low,1.0,Cat_6,6.0
Female,Yes,40,No,Homemaker,Average,5.0,Cat_4,9.0
Female,Yes,40,No,Engineer,Low,3.0,Cat_6,
Female,No,37,Yes,Artist,Low,1.0,Cat_6,9.0
Female,No,21,No,Healthcare,Low,4.0,Cat_2,1.0
Female,Yes,38,Yes,Artist,High,2.0,Cat_2,9.0
Female,No,26,No,Entertainment,Low,8.0,Cat_4,6.0
Female,Yes,49,Yes,Artist,High,4.0,,
Female,No,37,No,Homemaker,Low,1.0,Cat_6,8.0
Male,,38,Yes,Entertainment,Average,4.0,Cat_3,
Male,Yes,36,Yes,Engineer,Average,3.0,Cat_4,1.0
Female,Yes,45,Yes,Artist,Average,4.0,Cat_4,
Male,Yes,49,Yes,Executive,High,4.0,Cat_6,1.0
Female,No,21,No,Doctor,Low,3.0,Cat_7,1.0
Female,Yes,43,Yes,Artist,Low,1.0,Cat_6,
Female,No,33,Yes,Healthcare,Low,3.0,Cat_6,
Female,No,63,Yes,Doctor,Low,2.0,Cat_6,
Female,Yes,45,Yes,Executive,High,2.0,Cat_6,7.0
Male,No,25,Yes,Healthcare,Low,5.0,Cat_4,4.0
Male,Yes,28,Yes,Healthcare,High,2.0,Cat_6,8.0
Male,Yes,40,Yes,Artist,Low,2.0,Cat_6,
Female,No,18,No,Healthcare,Low,4.0,Cat_6,3.0
Female,Yes,32,Yes,Homemaker,High,2.0,Cat_3,4.0
Male,Yes,39,Yes,,Average,5.0,Cat_4,
Male,No,22,No,Healthcare,Low,4.0,Cat_6,1.0
Male,Yes,40,Yes,Artist,High,,Cat_6,
Male,Yes,33,No,Executive,High,4.0,Cat_6,
Female,No,30,Yes,Doctor,Low,9.0,Cat_4,
Male,Yes,46,Yes,Artist,Low,2.0,Cat_6,1.0
Male,Yes,79,No,Lawyer,High,2.0,Cat_6,
Male,No,22,No,Healthcare,Low,2.0,Cat_4,2.0
Male,No,29,No,Marketing,Low,4.0,Cat_3,9.0
Female,Yes,88,Yes,Lawyer,High,3.0,Cat_6,
Male,Yes,53,Yes,Healthcare,High,2.0,Cat_6,
Female,Yes,61,No,Engineer,High,3.0,Cat_4,1.0
Male,Yes,55,Yes,Artist,Average,3.0,Cat_6,
Female,Yes,56,Yes,Artist,Average,4.0,Cat_6,
Male,Yes,42,Yes,Healthcare,Low,2.0,Cat_4,5.0
Male,Yes,55,Yes,Entertainment,Low,3.0,Cat_6,1.0
Male,Yes,86,Yes,Healthcare,Low,1.0,Cat_6,
Female,Yes,50,Yes,Artist,Low,1.0,Cat_6,
Male,Yes,42,Yes,Artist,Average,2.0,Cat_6,5.0
Female,Yes,47,Yes,Artist,High,2.0,Cat_6,8.0
Female,No,51,Yes,Artist,Low,1.0,Cat_6,1.0
Male,No,53,Yes,Artist,Low,1.0,Cat_6,3.0
Female,Yes,46,Yes,Artist,Average,5.0,Cat_6,3.0
Male,Yes,51,Yes,Artist,Average,4.0,Cat_2,
Male,No,31,No,Healthcare,Low,3.0,Cat_2,1.0
Male,No,29,No,Healthcare,Low,6.0,Cat_6,
Female,No,26,No,Homemaker,Low,6.0,Cat_3,
Male,No,49,Yes,Artist,Low,1.0,Cat_6,1.0
Female,No,36,Yes,Healthcare,Low,2.0,Cat_6,1.0
Male,No,21,No,Healthcare,Low,5.0,Cat_6,0.0
Female,No,62,No,Entertainment,Low,1.0,Cat_6,2.0
Female,Yes,26,No,Doctor,Average,2.0,Cat_4,1.0
Male,No,29,Yes,Healthcare,Low,4.0,Cat_6,
Male,Yes,46,Yes,Doctor,Low,4.0,Cat_3,2.0
Female,No,32,Yes,Engineer,Low,3.0,Cat_6,
Male,Yes,35,Yes,Executive,High,4.0,Cat_6,
Female,No,30,No,Healthcare,Low,3.0,Cat_4,3.0
Female,No,52,Yes,Healthcare,Low,1.0,Cat_3,
Female,Yes,46,Yes,Artist,Low,2.0,Cat_6,
Female,Yes,50,Yes,Artist,Average,4.0,Cat_6,1.0
Male,Yes,68,Yes,Artist,High,2.0,Cat_6,1.0
Male,Yes,42,Yes,Healthcare,Average,4.0,Cat_4,
Female,No,40,Yes,Healthcare,Low,1.0,Cat_4,
Female,Yes,38,Yes,Artist,Average,4.0,Cat_3,1.0
Female,Yes,31,No,Engineer,Low,2.0,Cat_4,8.0
Female,Yes,38,Yes,Artist,Low,2.0,Cat_3,6.0
Female,No,56,Yes,Lawyer,Low,2.0,Cat_6,
Male,No,18,No,Marketing,Low,4.0,Cat_1,1.0
Male,,22,No,Healthcare,Low,2.0,Cat_6,
Male,No,21,No,Healthcare,Low,4.0,Cat_3,7.0
Male,No,28,Yes,Artist,Low,4.0,Cat_7,
Male,No,22,No,Marketing,Low,4.0,Cat_2,0.0
Female,Yes,40,Yes,Artist,Low,2.0,Cat_6,
Female,Yes,68,No,Lawyer,High,3.0,Cat_6,
Male,Yes,53,Yes,Entertainment,Average,2.0,Cat_6,1.0
Female,No,49,Yes,Doctor,Low,2.0,Cat_6,
Male,Yes,52,Yes,Executive,High,2.0,Cat_6,
Male,No,33,No,Healthcare,Low,4.0,Cat_6,1.0
Male,No,42,Yes,Artist,Low,1.0,Cat_6,8.0
Female,Yes,42,No,Engineer,Average,2.0,Cat_6,
Female,No,21,No,Healthcare,Low,4.0,Cat_2,0.0
Female,No,31,No,Doctor,Low,4.0,Cat_6,
Male,Yes,45,Yes,Artist,High,4.0,Cat_3,7.0
Male,No,19,No,Healthcare,Low,9.0,Cat_7,1.0
Female,No,22,No,Doctor,Low,2.0,Cat_4,0.0
Female,Yes,25,Yes,Artist,Average,2.0,Cat_4,8.0
Male,Yes,58,Yes,Artist,Average,5.0,Cat_6,1.0
Male,No,36,Yes,Doctor,Low,1.0,Cat_6,1.0
Female,No,32,Yes,Artist,Low,1.0,Cat_6,9.0
Female,No,31,Yes,Entertainment,Low,3.0,Cat_3,
Male,Yes,28,No,Entertainment,Average,2.0,Cat_4,
Female,No,42,Yes,Artist,Low,1.0,Cat_6,12.0
Female,Yes,69,Yes,Artist,High,4.0,Cat_6,1.0
Female,No,25,Yes,Engineer,Low,2.0,Cat_3,
Male,No,32,No,Executive,Low,2.0,Cat_3,
Female,No,25,No,Executive,Low,3.0,Cat_6,1.0
Male,Yes,40,Yes,Engineer,Low,2.0,Cat_3,7.0
Male,Yes,63,Yes,Executive,High,5.0,Cat_6,
Male,Yes,70,No,Lawyer,High,3.0,Cat_1,
Female,No,41,Yes,Artist,Low,1.0,Cat_6,
Male,Yes,35,Yes,Artist,Average,3.0,Cat_6,1.0
Male,Yes,62,Yes,Artist,Average,4.0,Cat_6,
Female,Yes,55,No,Engineer,Average,7.0,Cat_6,1.0
Female,No,53,Yes,Artist,Low,1.0,Cat_6,1.0
Male,Yes,71,No,Marketing,Low,1.0,Cat_6,1.0
Male,Yes,32,No,Executive,Average,5.0,Cat_4,4.0
Male,Yes,42,Yes,Artist,Average,2.0,Cat_6,
Male,Yes,35,Yes,Doctor,High,3.0,Cat_6,9.0
Male,No,31,No,Artist,Low,,,1.0
Male,No,40,Yes,Doctor,Low,,Cat_6,9.0
Female,No,25,No,Doctor,Low,3.0,Cat_6,
Female,Yes,41,Yes,Artist,Average,2.0,Cat_6,1.0
Male,Yes,30,Yes,Healthcare,Low,2.0,Cat_6,8.0
Male,Yes,55,Yes,Artist,Low,2.0,Cat_6,1.0
Male,Yes,43,Yes,Artist,Average,2.0,Cat_2,9.0
Male,Yes,35,Yes,Doctor,High,2.0,Cat_6,5.0
Male,Yes,40,Yes,Artist,Low,2.0,Cat_6,9.0
Female,Yes,40,Yes,Artist,Average,5.0,Cat_6,9.0
Male,Yes,56,No,Artist,Average,3.0,Cat_6,1.0
Male,No,18,No,Healthcare,Low,4.0,Cat_6,
Male,Yes,56,,Entertainment,Average,4.0,Cat_3,4.0
Female,Yes,43,Yes,,Low,2.0,Cat_6,1.0
Female,Yes,45,Yes,Artist,Average,5.0,Cat_4,
Female,No,36,No,Engineer,Low,2.0,Cat_6,
Male,Yes,25,Yes,Entertainment,Average,2.0,Cat_6,8.0
Female,No,19,No,Healthcare,Low,5.0,,4.0
Male,No,23,No,Healthcare,Low,3.0,Cat_2,
Male,No,82,,Lawyer,Low,2.0,Cat_4,1.0
Male,No,21,No,Healthcare,Low,6.0,Cat_5,1.0
Female,No,39,Yes,Engineer,Low,4.0,Cat_6,
Male,Yes,39,Yes,Entertainment,Average,4.0,Cat_3,1.0
Male,Yes,35,No,Artist,Average,2.0,Cat_6,4.0
Female,Yes,41,No,Doctor,Average,9.0,Cat_4,
Male,No,38,Yes,Artist,Low,4.0,Cat_2,6.0
Male,Yes,63,Yes,Marketing,High,3.0,Cat_6,1.0
Male,Yes,70,Yes,Artist,Low,2.0,Cat_6,1.0
Female,Yes,40,Yes,Artist,Average,2.0,Cat_6,1.0
Female,No,35,Yes,Artist,Low,1.0,Cat_6,
Female,No,31,No,Healthcare,Low,5.0,Cat_4,1.0
Male,Yes,69,Yes,Lawyer,High,4.0,Cat_6,
Female,No,50,Yes,Healthcare,Low,1.0,Cat_6,
Male,No,19,No,Doctor,Low,5.0,Cat_3,
Female,No,27,Yes,Engineer,Low,1.0,Cat_6,11.0
Female,Yes,47,Yes,,Low,1.0,,2.0
Female,Yes,37,Yes,Artist,Average,3.0,Cat_3,3.0
Female,No,48,Yes,Homemaker,Low,1.0,Cat_3,1.0
Male,No,27,Yes,Healthcare,Low,1.0,Cat_6,
Male,Yes,56,No,Lawyer,High,2.0,Cat_6,
Male,Yes,76,Yes,,High,2.0,Cat_6,1.0
Male,No,30,Yes,Doctor,Low,1.0,Cat_3,1.0
Male,Yes,70,No,Lawyer,Low,1.0,Cat_6,
Female,Yes,43,No,Engineer,Average,,Cat_4,
Female,Yes,35,No,Engineer,Average,4.0,Cat_4,7.0
Male,No,28,No,Executive,Low,4.0,Cat_6,9.0
Female,No,43,Yes,Artist,Low,1.0,Cat_6,1.0
Female,No,31,No,Healthcare,Low,,Cat_4,
Male,Yes,72,No,Entertainment,Average,2.0,Cat_6,2.0
Female,No,43,Yes,Entertainment,Low,,Cat_3,8.0
Female,Yes,68,Yes,Lawyer,Low,1.0,Cat_6,3.0
Male,No,31,No,Healthcare,Low,4.0,Cat_6,
Female,Yes,71,Yes,Lawyer,High,2.0,Cat_6,8.0
Male,Yes,61,Yes,Entertainment,Average,6.0,Cat_6,3.0
Male,Yes,26,Yes,Artist,Average,2.0,Cat_6,6.0
Female,No,32,Yes,Engineer,Low,1.0,Cat_6,
Female,No,53,No,Lawyer,Low,1.0,Cat_6,1.0
Female,Yes,36,Yes,Entertainment,Average,3.0,Cat_6,
Female,Yes,40,Yes,Artist,Low,1.0,Cat_6,8.0
Male,Yes,65,Yes,Artist,Average,4.0,Cat_2,
Male,Yes,46,Yes,Entertainment,Low,,Cat_6,
Female,No,33,Yes,Healthcare,Low,5.0,Cat_6,1.0
Female,Yes,48,Yes,Engineer,High,5.0,Cat_4,
Female,Yes,70,No,Engineer,Low,1.0,Cat_3,7.0
Female,Yes,69,Yes,Lawyer,High,2.0,Cat_6,1.0
Male,Yes,53,Yes,Artist,Average,3.0,Cat_6,1.0
Female,No,48,Yes,Artist,Low,1.0,Cat_2,1.0
Male,Yes,42,Yes,Artist,Average,4.0,Cat_6,3.0
Female,Yes,88,No,Lawyer,High,2.0,Cat_6,
Male,Yes,36,Yes,Artist,Average,2.0,Cat_6,9.0
Female,Yes,57,Yes,Artist,Average,4.0,Cat_4,
Male,Yes,43,No,Doctor,Low,2.0,Cat_6,
Female,No,28,No,Marketing,Low,5.0,Cat_4,
Female,No,41,No,Marketing,Low,3.0,Cat_3,9.0
Female,No,28,Yes,Engineer,Low,1.0,Cat_6,7.0
Male,Yes,46,No,Artist,High,3.0,Cat_6,1.0
Male,No,32,No,Healthcare,Low,3.0,Cat_6,9.0
Male,Yes,62,No,Executive,High,4.0,Cat_6,
Female,Yes,42,Yes,Doctor,Low,1.0,Cat_6,8.0
Female,Yes,48,Yes,Artist,Average,4.0,Cat_6,2.0
Male,Yes,82,Yes,Lawyer,Low,1.0,Cat_6,7.0
Female,Yes,52,Yes,Engineer,Low,3.0,Cat_3,
Female,Yes,51,Yes,Engineer,Low,1.0,Cat_6,
Male,Yes,66,Yes,Executive,High,2.0,Cat_6,1.0
Male,Yes,68,Yes,Artist,Low,1.0,Cat_6,1.0
Female,Yes,58,Yes,Artist,Low,,Cat_6,
Female,No,41,Yes,Entertainment,Low,2.0,Cat_6,5.0
Female,Yes,81,No,Lawyer,High,2.0,Cat_6,
Male,Yes,61,No,Entertainment,Low,,Cat_6,1.0
Female,No,33,No,Marketing,Low,4.0,Cat_3,
Female,Yes,87,Yes,Artist,Average,2.0,Cat_6,1.0
Female,Yes,39,Yes,Engineer,Average,2.0,Cat_6,8.0
Male,No,20,No,Doctor,Low,4.0,Cat_6,0.0
Female,No,27,No,Homemaker,Low,1.0,Cat_6,9.0
Female,Yes,61,Yes,Artist,Low,1.0,Cat_6,
Female,No,47,Yes,Artist,Low,1.0,Cat_6,4.0
Female,No,33,No,Healthcare,Low,3.0,Cat_4,
Female,Yes,62,Yes,Engineer,Low,1.0,Cat_3,1.0
Male,Yes,84,No,Lawyer,Low,1.0,Cat_6,1.0
Male,No,26,Yes,Artist,Low,1.0,,
Female,Yes,85,No,Lawyer,Low,,,
Male,Yes,36,Yes,Artist,Average,2.0,Cat_6,
Female,No,33,Yes,Healthcare,Low,1.0,Cat_4,8.0
Female,Yes,31,No,Homemaker,Average,2.0,Cat_6,12.0
Male,No,25,No,Healthcare,Low,3.0,Cat_6,1.0
Male,No,31,Yes,Doctor,Low,2.0,Cat_7,14.0
Male,No,32,Yes,Entertainment,Low,1.0,Cat_6,1.0
Male,No,29,Yes,Entertainment,Low,4.0,Cat_6,8.0
Male,Yes,51,Yes,Artist,Average,2.0,Cat_6,3.0
Male,Yes,73,No,Executive,Low,,Cat_6,1.0
Female,No,33,Yes,Engineer,Low,5.0,Cat_7,
Male,Yes,38,Yes,Artist,Average,4.0,Cat_6,1.0
Male,Yes,56,Yes,Artist,Average,3.0,Cat_6,
Male,Yes,38,Yes,Artist,Low,2.0,Cat_6,
Male,No,20,No,Healthcare,Low,4.0,Cat_6,0.0
Female,No,42,No,Entertainment,Low,3.0,Cat_6,1.0
Female,No,23,No,Engineer,Low,1.0,Cat_3,11.0
Male,Yes,35,Yes,Artist,Average,2.0,Cat_6,2.0
Male,No,26,Yes,Artist,Low,4.0,Cat_4,
Female,No,59,Yes,Artist,Low,,Cat_3,
Female,No,40,Yes,Homemaker,Low,1.0,Cat_6,9.0
Male,Yes,45,Yes,Executive,Low,5.0,Cat_6,1.0
Male,Yes,37,Yes,Artist,Average,2.0,Cat_6,1.0
Female,Yes,52,,Engineer,Low,1.0,Cat_4,1.0
Male,No,27,No,Doctor,Low,3.0,Cat_6,1.0
Female,Yes,45,Yes,Artist,Low,1.0,Cat_6,4.0
Male,Yes,61,Yes,Entertainment,Average,4.0,Cat_6,2.0
Female,Yes,87,Yes,Lawyer,High,2.0,Cat_6,
Male,Yes,26,Yes,Marketing,Low,2.0,Cat_3,
Male,No,26,Yes,Healthcare,Low,3.0,Cat_3,
Female,No,42,Yes,Artist,Low,1.0,Cat_6,
Male,Yes,79,No,Lawyer,Low,1.0,Cat_6,
Female,No,29,No,Healthcare,Low,,,8.0
Female,Yes,31,No,Engineer,Low,4.0,Cat_6,9.0
Female,No,27,No,Healthcare,Low,5.0,Cat_6,
Female,No,36,Yes,Artist,Low,1.0,Cat_6,6.0
Male,Yes,38,Yes,Entertainment,Low,2.0,Cat_4,
Male,No,40,Yes,Entertainment,Low,2.0,Cat_2,
Male,Yes,45,No,Executive,Average,4.0,Cat_6,1.0
Female,Yes,84,Yes,Lawyer,Low,1.0,Cat_6,
Female,No,30,No,Healthcare,Low,6.0,Cat_4,7.0
Female,No,46,Yes,Engineer,Low,2.0,Cat_1,1.0
Female,Yes,39,Yes,Artist,Low,1.0,Cat_6,
Male,Yes,39,Yes,Healthcare,Average,5.0,Cat_3,7.0
Male,No,22,No,Doctor,Low,3.0,Cat_2,1.0
Male,Yes,72,Yes,Executive,High,4.0,Cat_6,1.0
Male,Yes,60,Yes,Artist,Average,2.0,Cat_3,1.0
Female,Yes,38,Yes,Artist,Low,4.0,Cat_6,6.0
Male,No,28,Yes,Artist,Low,1.0,Cat_6,9.0
Female,No,49,Yes,,Low,2.0,Cat_6,
Male,No,45,Yes,Artist,Low,1.0,Cat_6,
Male,No,21,No,Healthcare,Low,4.0,Cat_6,2.0
Female,Yes,67,Yes,Engineer,Low,1.0,Cat_6,1.0
Female,No,21,No,Healthcare,Low,5.0,Cat_6,0.0
Male,Yes,42,Yes,Executive,High,6.0,Cat_7,9.0
Male,Yes,60,Yes,Entertainment,Average,3.0,Cat_6,1.0
Female,No,33,Yes,Entertainment,Low,3.0,Cat_6,
Male,Yes,73,No,Executive,High,3.0,Cat_6,
Male,No,75,No,Lawyer,Low,2.0,Cat_6,
Female,Yes,48,No,Doctor,Low,1.0,Cat_4,4.0
Male,No,33,No,Entertainment,Low,1.0,Cat_6,8.0
Female,No,43,Yes,Artist,Low,2.0,Cat_6,1.0
Male,No,26,No,Doctor,Low,4.0,Cat_6,
Male,No,41,No,Engineer,Low,7.0,Cat_4,9.0
Male,No,31,Yes,Healthcare,Low,3.0,Cat_6,
Male,No,23,No,Healthcare,Low,3.0,Cat_2,2.0
Female,Yes,40,No,Doctor,Average,2.0,Cat_7,2.0
Male,No,31,No,Healthcare,Low,,Cat_6,
Male,No,41,Yes,Entertainment,Low,2.0,Cat_3,1.0
Male,Yes,87,Yes,Lawyer,Low,4.0,Cat_6,9.0
Male,Yes,78,No,Lawyer,High,2.0,Cat_2,1.0
Female,Yes,60,No,Artist,Average,3.0,Cat_6,
Female,Yes,38,Yes,Engineer,Low,2.0,Cat_6,1.0
Female,No,33,Yes,Doctor,Low,3.0,Cat_6,
Female,Yes,50,Yes,Entertainment,Low,2.0,Cat_6,4.0
Female,No,40,Yes,Engineer,Low,1.0,Cat_3,
Male,Yes,69,No,Executive,Average,4.0,Cat_2,
Male,Yes,68,No,Executive,Average,2.0,Cat_6,1.0
Male,Yes,84,No,Lawyer,High,2.0,Cat_6,1.0
Male,No,38,Yes,Artist,Low,1.0,Cat_6,1.0
Male,Yes,66,Yes,Executive,Average,2.0,Cat_6,
Male,Yes,29,No,Healthcare,Low,4.0,Cat_4,
Male,Yes,69,No,Lawyer,Low,1.0,Cat_6,
Female,No,26,Yes,Artist,Low,1.0,Cat_6,9.0
Male,No,18,No,Healthcare,Low,3.0,Cat_6,9.0
Male,No,20,No,Healthcare,Low,3.0,Cat_6,
Male,Yes,65,Yes,Lawyer,Low,1.0,Cat_4,
Male,No,21,No,Healthcare,Low,5.0,Cat_4,1.0
Female,No,28,No,Healthcare,Low,3.0,Cat_4,
Male,No,45,Yes,Entertainment,Low,2.0,Cat_6,1.0
Male,Yes,66,Yes,Entertainment,Average,2.0,Cat_6,1.0
Male,Yes,38,Yes,Engineer,Average,4.0,Cat_4,
Female,Yes,47,Yes,Doctor,Average,2.0,Cat_4,1.0
Female,Yes,55,Yes,Entertainment,Average,5.0,Cat_6,1.0
Male,Yes,58,Yes,Artist,Average,4.0,Cat_6,6.0
Female,No,33,Yes,Healthcare,Low,1.0,Cat_6,1.0
Female,Yes,51,Yes,Homemaker,Average,4.0,Cat_3,12.0
Male,No,18,No,Healthcare,Low,2.0,Cat_6,0.0
Female,Yes,74,Yes,Artist,Average,2.0,Cat_6,
Female,Yes,68,Yes,Artist,Average,3.0,Cat_6,
Female,No,38,Yes,Engineer,Low,4.0,Cat_6,8.0
Male,No,32,Yes,Healthcare,Low,,Cat_6,1.0
Female,Yes,39,Yes,Artist,Average,4.0,Cat_6,2.0
Male,No,30,No,Engineer,Low,3.0,Cat_4,9.0
Male,,35,Yes,Artist,Low,1.0,Cat_6,5.0
Female,No,33,Yes,Doctor,Low,6.0,Cat_4,
Male,,55,Yes,Entertainment,Average,5.0,Cat_6,
Male,Yes,42,No,Executive,High,5.0,Cat_6,3.0
Female,No,38,Yes,Healthcare,Low,2.0,Cat_6,
Male,Yes,29,Yes,Healthcare,Average,2.0,Cat_6,1.0
Female,Yes,69,Yes,Artist,High,2.0,Cat_6,9.0
Female,No,20,No,Doctor,Low,4.0,Cat_6,
Male,No,28,No,Marketing,Low,6.0,Cat_6,
Female,Yes,73,No,Lawyer,High,2.0,Cat_6,
Female,Yes,38,No,Engineer,High,5.0,Cat_6,1.0
Male,Yes,43,Yes,Doctor,Low,4.0,Cat_3,1.0
Female,No,39,Yes,Artist,Low,2.0,Cat_6,3.0
Male,No,22,No,Healthcare,Low,4.0,Cat_4,1.0
Female,No,30,No,Engineer,Low,,Cat_4,1.0
Male,Yes,36,Yes,Artist,Low,1.0,Cat_6,4.0
Male,Yes,37,No,Artist,Low,5.0,Cat_3,1.0
Male,No,25,Yes,Healthcare,Low,2.0,Cat_4,
Female,Yes,60,Yes,Artist,Average,2.0,Cat_6,1.0
Female,Yes,38,Yes,Doctor,High,4.0,Cat_3,7.0
Female,Yes,60,No,Engineer,High,9.0,Cat_4,1.0
Female,No,21,Yes,Healthcare,Low,4.0,Cat_1,0.0
Male,Yes,33,Yes,Entertainment,Average,2.0,Cat_3,
Male,Yes,53,Yes,Executive,High,2.0,Cat_6,1.0
Male,No,40,Yes,Artist,Low,2.0,Cat_6,5.0
Male,No,30,Yes,Healthcare,Low,1.0,Cat_6,
Male,No,52,Yes,Entertainment,Low,5.0,Cat_4,1.0
Male,Yes,36,Yes,Healthcare,High,2.0,Cat_6,8.0
Male,Yes,70,Yes,Entertainment,High,2.0,Cat_6,
Male,No,39,Yes,Artist,Low,2.0,Cat_6,1.0
Male,Yes,61,No,Healthcare,Low,3.0,Cat_6,
Male,No,43,Yes,Artist,Low,2.0,Cat_4,1.0
Female,No,42,Yes,Marketing,Low,3.0,Cat_6,
Male,No,23,No,Healthcare,Low,3.0,Cat_4,1.0
Female,Yes,33,Yes,Doctor,High,2.0,Cat_6,8.0
Male,Yes,52,Yes,Executive,High,4.0,Cat_6,
Female,Yes,81,No,Lawyer,High,2.0,Cat_6,
Female,No,33,No,Healthcare,Low,1.0,Cat_4,
Male,Yes,53,Yes,Artist,Average,2.0,Cat_6,
Female,No,42,Yes,Artist,Low,2.0,Cat_6,
Female,Yes,45,Yes,Artist,High,5.0,Cat_6,1.0
Female,No,48,Yes,Entertainment,Low,,Cat_4,1.0
Female,No,47,Yes,Marketing,Low,1.0,Cat_6,9.0
Male,Yes,72,Yes,Executive,High,2.0,Cat_6,1.0
Female,No,37,Yes,Healthcare,Low,1.0,Cat_6,
Female,No,41,Yes,Artist,Low,1.0,Cat_4,1.0
Male,No,31,Yes,Artist,Low,2.0,Cat_6,1.0
Female,Yes,33,Yes,Entertainment,Low,5.0,Cat_6,
Male,Yes,65,Yes,Artist,High,2.0,Cat_6,5.0
Male,Yes,35,Yes,Artist,Average,3.0,Cat_6,3.0
Female,Yes,45,Yes,Homemaker,Low,1.0,Cat_3,1.0
Female,No,53,Yes,Entertainment,Low,1.0,Cat_6,
Female,Yes,40,Yes,Artist,Average,2.0,Cat_6,1.0
Female,Yes,35,No,Engineer,High,2.0,,1.0
Female,No,32,Yes,Marketing,Low,1.0,Cat_6,8.0
Female,No,51,No,Entertainment,Low,1.0,Cat_6,1.0
Female,No,33,Yes,Homemaker,Low,1.0,Cat_6,8.0
Male,No,79,No,Lawyer,Low,1.0,Cat_4,
Male,Yes,43,Yes,Artist,Average,4.0,Cat_6,1.0
Female,Yes,26,Yes,Healthcare,High,7.0,Cat_2,6.0
Female,Yes,50,Yes,Artist,Low,3.0,Cat_4,1.0
Male,Yes,82,Yes,Lawyer,Low,1.0,Cat_6,
Male,No,20,No,Healthcare,Low,4.0,,1.0
Male,Yes,48,Yes,Artist,Average,3.0,Cat_6,
Male,Yes,40,No,Executive,Low,4.0,Cat_6,7.0
Male,No,52,Yes,Artist,Low,1.0,Cat_6,1.0
Female,Yes,49,No,Artist,Average,4.0,Cat_3,1.0
Male,No,23,No,Healthcare,Low,4.0,Cat_3,
Male,No,35,Yes,Entertainment,Low,3.0,Cat_7,
Female,No,26,Yes,Healthcare,Low,5.0,Cat_4,1.0
Female,No,21,No,Healthcare,Low,3.0,Cat_3,1.0
Male,Yes,48,Yes,Executive,Low,2.0,Cat_6,
Female,Yes,69,Yes,Lawyer,High,2.0,Cat_6,
Male,No,26,Yes,Healthcare,Low,2.0,Cat_3,1.0
Female,Yes,62,No,Doctor,Average,5.0,Cat_3,
Male,No,33,No,Healthcare,Low,5.0,Cat_2,1.0
Female,Yes,65,Yes,Artist,Average,2.0,Cat_6,3.0
Female,No,31,No,Engineer,Low,4.0,Cat_6,1.0
Male,Yes,32,No,Doctor,Low,2.0,Cat_6,
Male,Yes,67,Yes,Executive,Low,2.0,Cat_6,1.0
Female,,62,Yes,Artist,Average,3.0,Cat_6,4.0
Male,Yes,42,No,Entertainment,Average,3.0,Cat_6,9.0
Female,Yes,40,Yes,Artist,Average,2.0,Cat_6,1.0
Female,No,26,No,Doctor,Low,2.0,Cat_6,
Female,No,27,Yes,Homemaker,Low,7.0,Cat_6,6.0
Male,No,33,No,Entertainment,Low,1.0,Cat_6,14.0
Male,Yes,57,Yes,Lawyer,High,2.0,Cat_6,1.0
Male,Yes,55,Yes,Artist,Average,2.0,Cat_1,9.0
Male,Yes,41,Yes,Artist,High,2.0,Cat_3,7.0
Female,No,26,No,Healthcare,Low,,Cat_5,1.0
Female,Yes,45,Yes,Artist,High,5.0,Cat_6,8.0
Female,Yes,35,Yes,Engineer,Low,2.0,Cat_6,5.0
Male,No,42,Yes,Artist,Low,2.0,Cat_3,6.0
Female,No,38,No,Homemaker,Low,1.0,Cat_2,5.0
Female,No,28,No,Marketing,Low,2.0,Cat_3,9.0
Female,No,32,Yes,Healthcare,Low,3.0,Cat_6,6.0
Male,Yes,63,Yes,Entertainment,Average,3.0,Cat_6,
Male,Yes,30,Yes,Entertainment,Average,3.0,Cat_4,
Male,Yes,40,Yes,Artist,Average,4.0,Cat_6,1.0
Female,Yes,62,Yes,Artist,Low,2.0,Cat_6,3.0
Female,Yes,53,Yes,Artist,Low,2.0,Cat_6,1.0
Female,Yes,29,No,Homemaker,Average,2.0,Cat_4,
Male,Yes,72,No,Lawyer,High,2.0,,
Male,Yes,84,No,Lawyer,Low,1.0,Cat_6,
Female,Yes,56,Yes,Engineer,Average,3.0,Cat_6,1.0
Male,No,33,No,Doctor,Low,4.0,Cat_4,1.0
Female,Yes,39,Yes,Artist,Average,3.0,Cat_6,8.0
Male,Yes,40,Yes,Entertainment,Average,2.0,Cat_6,8.0
Male,Yes,62,Yes,Artist,Low,3.0,Cat_6,
Male,Yes,58,Yes,Artist,Low,2.0,Cat_6,1.0
Female,Yes,33,Yes,Engineer,Average,2.0,Cat_6,2.0
Male,Yes,25,No,Entertainment,Average,,Cat_3,
Male,Yes,62,Yes,Entertainment,Low,1.0,Cat_6,
